"PD"	"SR"
"Caloptilia triadicae"	0	0
"Grapholita dimorpha"	375.784036	2
"Phoebis sennae"	664.51408	6
"Megalopyge crispata"	1254.785921	14
"Cyclidia substigmaria"	370.660682	2
"Pterodecta felderi"	0	0
"Melitaea cinxia"	786.773058	7
"Psychonoctua personalis"	1002.864904	7
"Brahmaea hearseyi"	0	0
"Amata phegea"	0	0
"Hyles euphorbiae"	343.023751	2
"Thymelicus sylvestris"	359.461879	3
"Pseudopostega quadristrigella"	346.540962	2
"Pheosia gnoma"	369.176758	2
"Culama crepera"	0	0
"Sphinx pinastri"	440.55981	4
"Lactura subfervens"	338.660814	2
"Sesamia inferens"	926.515151	24
"Darapsa myron"	498.615912	3
"Therinia lactucina"	0	0
"Psilocorsis reflexella"	995.331747	9
"Triodia sylvina"	325.050922	1
"Dendrolimus pini"	582.91108	6
"Thyatira batis"	409.356259	2
"Junonia coenia"	1212.726828	26
"Helicoverpa zea"	5766.533315	111
"Spodoptera exigua"	4756.451826	83
"Butterfly species name"	0	0
"Colias croceus"	392.050587	3
"Hemaris diffinis"	895.66234	10
"Anthocharis cardamines"	505.641718	9
"Lerema accius"	469.586956	10
"Macroglossum pyrrhosticta"	437.391692	2
"Manduca sexta"	1718.258309	26
"Polyommatus icarus"	589.296315	8
"Hylephila phyleus"	528.564827	12
"Phyllocnistis citrella"	1074.333007	12
"Chilo suppressalis"	850.241876	19
"Calycopis cecrops"	808.085329	7
"Demonarosa rufotessellata"	0	0
"Dyseriocrania subpurpurella"	0	0
"Calledapteryx dryopterata"	342.574332	2
"Smerinthus saliceti"	363.089252	2
"Axia margarita"	0	0
"Saturnia pyri"	1740.212813	21
"Pseudothyatira cymatophoroides"	1201.293824	14
"Attacus atlas"	6700.099031	103
"Actias luna"	2468.453476	27
"Antaeotricha schlaegeri"	422.930215	2
"Pararge aegeria"	547.697927	12
"Bicyclus anynana"	325.050762	1
"Pseudothyris sepulchralis"	0	0
"Polygonia c-album"	1429.810517	14
"Heliothis virescens"	3044.73278	50
"Phaecasiophora niveiguttana"	583.369152	3
"Cameraria ohridella"	334.147264	2
"Spodoptera frugiperda"	4766.549152	91
"Cnaphalocrocis medinalis"	919.275307	14
"Agathiphaga queenslandensis"	330.27708	2
"Plodia interpunctella"	3844.104919	48
"Vitacea polistiformis"	365.605832	2
"Micropterix calthella"	0	0
"Hemerophila diva"	336.973303	2
"Galleria mellonella"	0	0
"Heliconius melpomene"	325.050662	1
"Maniola jurtina"	427.312167	7
"Pterophorus pentadactyla"	406.280297	3
"Urbanus proteus"	1098.036618	18
"Parum colligata"	342.470603	2
"Phragmatobia fuliginosa"	1819.674558	20
"Xylophanes tersa"	1130.995688	14
"Acrocercops transecta"	540.737832	5
"Cydia pomonella"	977.800361	13
"Archaeoses polygrapha"	329.794192	2
"Telchin licus"	0	0
"Palaeagapetus nearcticus"	0	0
"Prionoxystus robiniae"	1315.691244	12
"Phyllodes eyndhovii"	332.494658	2
"Megathymus yuccae"	327.227582	2
"Yponomeuta evonymellus"	0	0
"Striglina suzukii"	0	0
"Phymatopus californicus"	348.039727	2
"Parides eurimedes"	349.61411	2
"Nemophora degeerella"	0	0
"Bombyx mori"	448.785622	2
"Thyridopteryx ephemeraeformis"	6720.593671	92
"Macaria distribuaria"	0	0
"Enteucha acetosae"	333.971102	2
"Eudocima salaminia"	1024.849327	8
"Euproctis chrysorrhoea"	3152.029283	42
"Bombyx mandarina"	333.450782	2
"Zygaena fausta"	0	0
"Lymantria dispar"	6440.11479	80
"Papilio machaon"	1333.843394	38
"Synemon plana"	327.620426	2
"Amphipyra pyramidea"	884.323593	7
"Philodoria splendida"	338.874342	2
"Acanthopteroctetes unifascia"	329.515292	2
"Plutella xylostella"	1641.873629	22
"Mania lunus"	0	0
"Podosesia syringae"	506.115591	6
"Leucoptera coffeella"	328.057982	2
"Epicopeia hainesii"	372.760782	2
"Striacosta albicosta"	0	0
"Hebomoia glaucippe"	430.905728	4
"Amyelois transitella"	2703.903709	33
"Lantanophaga pusillidactyla"	559.635181	4
"Papilio glaucus"	2287.072997	29
"Agrotis infusa"	1288.156581	9
"Hemiargus ceraunus"	965.167234	15
"Tegeticula yuccasella"	327.227582	2
"Danaus plexippus"	987.130605	18
"Biston betularia"	4372.64027	54
"Ascia monuste"	1057.145486	17
"Helicopsyche borealis"	0	0
"Morpheis pyracmon"	654.878449	5
"Manoba major"	0	0
"Mythimna separata"	0	0
"Mustilizans dierli"	0	0
"Bembecia ichneumoniformis"	424.925983	4
"Lyssa zampa"	443.629791	2
"Tineola bisselliella"	0	0
"Tuta absoluta"	0	0
"Bucculatrix cristatella"	328.402564	2
"Dalcera abrasa"	1005.433434	7
"Emmelina monodactyla"	981.024503	13
"Ectropis obliqua"	1750.133695	16
"Luehdorfia chinensis"	331.01063	2
"Tridrepana flava"	0	0
"Hyposmocoma kahamanoa"	0	0
"Lacosoma chiridota"	336.827369	2
"Catoptria falsella"	0	0
"Stigmella atricapitella"	336.827369	2
"Hemileuca maia"	1482.420708	15
"Operophtera brumata"	2485.506656	31
"Coptotriche citrinipennella"	0	0
"Enyo lugubris"	803.170296	7
"Nemoria lixaria"	422.930205	2
"Alucita desmodactyla"	339.33936	2
